term,estimate,std.error,statistic,p.value,conf.low,conf.high,outcome,spec_def
year::-2,0.05955579075597153,0.11401204422345923,0.5223640288322914,0.6014168962665702,-0.16390370972579643,0.2830152912377395,evicts,official_swl
year::0,0.01773240286720304,0.11522595436275698,0.1538924365197921,0.8776945478456583,-0.20810631776805652,0.2435711235024626,evicts,official_swl
year::1,0.33824242956461026,0.13909666143860316,2.4317077496062653,0.015027827387152241,0.06561798277518677,0.6108668763540337,evicts,official_swl
year::2,-0.010055543579960413,0.19164045164212065,-0.05247088228918735,0.9581534959306456,-0.38566392677950667,0.36555283961958585,evicts,official_swl
year::3,0.5025326452050934,0.11780286739512949,4.265877871372344,1.991176873508286e-5,0.27164326783509185,0.733422022575095,evicts,official_swl
year::4,0.27211184047160913,0.13133804310039318,2.0718432683180015,0.038280060082506534,0.014694006194869214,0.5295296747483491,evicts,official_swl
year::-2,-0.03971293184694098,0.0781089369668987,-0.5084300643314437,0.611151773205189,-0.19280363517277166,0.11337777147888968,evicts,nta_bot25
year::0,-0.027237268216105538,0.14501547929842157,-0.18782317824192443,0.8510152655102342,-0.31146238484182553,0.2569878484096144,evicts,nta_bot25
year::1,0.5042368577771642,0.1756254000668854,2.8710930058244992,0.0040905515296923945,0.1600173988756305,0.8484563166786979,evicts,nta_bot25
year::2,-0.15922546446178606,0.1671634106650941,-0.952513853529757,0.3408364434748456,-0.48685972889824924,0.1684087999746771,evicts,nta_bot25
year::3,0.5154689308935563,0.1363731815085396,3.7798409129384276,1.569285936460964e-4,0.248182406679675,0.7827554551074376,evicts,nta_bot25
year::4,0.317632594354561,0.22786558748863664,1.393947185510848,0.16333355391444307,-0.1289757504392275,0.7642409391483495,evicts,nta_bot25
year::-2,0.08951434807709796,0.08669940552463092,1.0324678414509698,0.3018530051397038,-0.0804133642322116,0.2594420603864075,HPDv_all,official_swl
year::0,-0.07507644995991139,0.08662372376482212,-0.8666961739458252,0.38610850234951305,-0.2448558287457091,0.09470292882588632,HPDv_all,official_swl
year::1,0.26678514721715485,0.12378693452154318,2.1551963318933716,0.03114647384332408,0.024167213798312354,0.5094030806359974,HPDv_all,official_swl
year::2,0.13650964978729546,0.14752075817540336,0.9253589221998466,0.35477923867318106,-0.1526257232085378,0.4256450227831287,HPDv_all,official_swl
year::3,0.015211567440422707,0.15766998916027278,0.09647725303615028,0.9231415390886988,-0.2938159327565326,0.324239067637378,HPDv_all,official_swl
year::4,0.09586467444615333,0.2100457451493028,0.45639903049696,0.6481030627890778,-0.31581742115235883,0.5075467700446655,HPDv_all,official_swl
year::-2,0.10955375193719055,0.11056293942317438,0.9908722806100404,0.32174794918459104,-0.10714562735711489,0.326253131231496,HPDv_all,nta_bot25
year::0,-0.08510400624194295,0.11599924303664934,-0.733660013755907,0.4631559745649701,-0.31245834482768425,0.14225033234379836,HPDv_all,nta_bot25
year::1,0.4105678660063765,0.15057544259849373,2.7266588689441686,0.006397914518997922,0.1154454215571506,0.7056903104556025,HPDv_all,nta_bot25
year::2,0.35367395663971524,0.17028647405405978,2.0769351095227715,0.03780754874752452,0.019918600439443768,0.6874293128399867,HPDv_all,nta_bot25
year::3,0.44944754654965596,0.18195993667947338,2.4700357383689804,0.013509955437294852,0.09281262402869944,0.8060824690706125,HPDv_all,nta_bot25
year::4,0.37915763603289165,0.2532038798839789,1.4974400716396064,0.1342787881136551,-0.1171128492855128,0.8754281213512961,HPDv_all,nta_bot25
